query,execution_time_s,puissance_moyenne_W,energy_consumed_J
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,96.211,9.6211
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,69.668,6.9668
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1523,74.144,7.4144
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1506,74.495,7.4495
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1528,79.842,7.9842
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,89.932,8.9932
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,73.193,7.3193
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,95.194,9.5194
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1535,72.474,7.2474
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1501,78.922,7.8922
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1538,71.298,7.1298
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1509,77.655,7.7655
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1537,68.985,6.8985
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,77.746,7.7746
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,71.676,7.1676
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,74.362,7.4362
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,114.373,11.4373
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1525,96.531,9.6531
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1533,81.247,8.1247
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,102.527,10.2527
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,83.608,8.3608
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,132.764,13.2764
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,91.528,9.1528
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.154,78.896,7.8896
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1512,68.646,6.8646
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,76.38,7.638
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1503,76.277,7.6277
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1523,120.21,12.021
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,92.187,9.2187
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,141.004,14.1004
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1518,130.328,13.0328
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,142.79,14.279
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,98.257,9.8257
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,85.079,8.5079
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,123.403,12.3403
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,162.304,16.2304
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,144.264,14.4264
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,122.654,12.2654
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.15,136.441,13.6441
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1521,110.243,11.0243
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1496,78.917,7.8917
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,101.865,10.1865
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,150.718,15.0718
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,111.434,11.1434
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,84.583,8.4583
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,71.305,7.1305
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,75.208,7.5208
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1505,85.55,8.555
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.151,84.64,8.464
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1517,90.286,9.0286
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.154,86.503,8.6503
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1504,92.81,9.281
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1522,78.691,7.8691
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1499,91.115,9.1115
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1545,83.101,8.3101
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1516,97.085,9.7085
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,75.367,7.5367
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1496,85.044,8.5044
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.153,85.198,8.5198
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1498,85.959,8.5959
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,85.754,8.5754
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1507,85.344,8.5344
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1519,95.364,9.5364
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1508,100.967,10.0967
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.152,78.425,7.8425
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1512,100.622,10.0622
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1524,76.904,7.6904
"SELECT ?X WHERE{
	?X <http://www.w3.org/1999/02/22",0.1497,86.943,8.6943
